ARIZONA (acre-feet),CALIFORNIA (acre-feet),NEVADA (acre-feet),MEXICO (acre-feet),Sum,mead_Evap_tavg (kg m-2 s-1),mead_Tair_f_inst (K),mead_Rainf_tavg (kg m-2 s-1),upperCRB_Tair_f_inst (K),upperCRB_Snowf_tavg (kg m-2 s-1),upperCRB_Rainf_tavg (kg m-2 s-1),upperCRB_SoilMoi40_100cm_inst,upperCRB_SWE_inst (kg m-2),PDSI (Index),upperCRB_Evap_tavg (kg m-2 s-1)
217000,335700,14600,187000,754300,7.36E-06,0282,2.05E-05,0270,8.85E-06,4.86E-06,0083,15.84026081,-3.22,5.74E-06
282300,472300,22300,218600,995500,1.26E-05,0284,8.95E-06,0272,8.82E-06,8.76E-06,0087,13.72441998,-2.65,1.06E-05
324800,565900,31300,198800,1120800,7.18E-06,0292,1.70E-06,0278,2.12E-06,5.20E-06,0093,4.951966112,-3.23,1.40E-05
363700,590700,36900,170600,1161900,4.33E-06,0297,2.18E-06,0285,1.16E-06,8.19E-06,0094,0.1783219723,-4.38,1.80E-05
248000,552800,33400,157100,991300,3.04E-06,0301,2.97E-06,0290,1.95E-07,6.02E-06,0083,0.01113240939,-4.58,1.67E-05
236100,580400,36700,163900,1017100,2.85E-06,0303,1.94E-06,0293,1.48E-08,6.44E-06,0072,0.0003615535135,-5.41,1.27E-05
198200,511500,36900,133800,880400,1.13E-05,0303,1.49E-05,0293,1.10E-08,1.36E-05,0066,0.0002830172784,-5.27,1.29E-05
168300,353000,29400,131300,682000,6.03E-06,0298,1.25E-06,0286,7.07E-07,1.14E-05,0064,0.1202332636,-5.69,1.02E-05
139200,297300,30400,173500,640400,4.39E-06,0291,1.89E-05,0278,2.95E-06,1.68E-05,0064,0.3943931367,-3.51,5.39E-06
219200,319400,21400,155200,715200,6.24E-06,0281,2.69E-06,0266,5.79E-06,1.99E-06,0072,6.362297077,-2.72,3.89E-06
240700,284100,13100,175400,713300,4.12E-06,0281,1.47E-06,0266,5.44E-06,7.58E-07,0071,12.22314103,-2.79,3.01E-06
216400,235400,14600,166500,632900,4.85E-06,0279,1.51E-05,0265,7.05E-06,2.27E-06,0071,18.89029345,-2.08,2.79E-06
236000,310700,14500,192700,753900,8.62E-06,0281,1.77E-05,0267,8.79E-06,3.53E-06,0071,24.87282956,-1.68,5.57E-06
254400,266400,17000,241700,779500,1.30E-05,0286,9.65E-06,0272,4.87E-06,4.64E-06,0076,16.64986546,-1.51,9.71E-06
305400,535700,28300,200000,1069400,1.29E-05,0289,8.66E-06,0277,4.00E-06,8.68E-06,0082,5.324406892,-1.36,1.45E-05
345800,593200,39800,110600,1089400,4.46E-06,0299,1.18E-06,0284,8.97E-07,8.58E-06,0087,0.4306921443,-1.17,1.68E-05
302600,566700,31600,122200,1023100,3.03E-06,0302,1.26E-06,0290,1.22E-07,4.67E-06,0081,0.004228207789,-1.32,1.62E-05
250900,589300,37400,143000,1020600,6.92E-06,0303,6.59E-06,0293,2.85E-10,1.13E-05,0072,2.54E-05,-1.49,1.46E-05
199700,548500,38000,113600,899800,1.05E-05,0304,1.15E-05,0291,2.97E-10,1.66E-05,0069,0.0001355614789,-1.52,1.37E-05
181500,457600,31700,103100,773900,2.94E-06,0301,8.39E-07,0288,1.79E-07,5.11E-06,0068,0.02663528593,-2.25,8.36E-06
154500,421300,30100,85200,691100,1.21E-06,0295,2.08E-06,0281,9.20E-07,4.45E-06,0066,0.1170546799,-2.8,3.68E-06
182000,342600,19100,99000,642700,3.04E-06,0287,4.73E-06,0274,4.90E-06,5.79E-06,0066,2.157733789,-2.73,2.99E-06
211900,287500,13300,123200,635900,3.79E-06,0279,7.45E-06,0267,7.56E-06,1.40E-06,0066,14.51012061,-2.75,2.18E-06
209800,289100,13100,143300,655300,4.77E-06,0280,1.17E-06,0266,3.70E-06,8.07E-07,0066,20.26014062,-3.12,3.24E-06
247400,340000,12300,159500,759200,3.75E-06,0284,4.76E-07,0267,2.11E-06,6.90E-07,0066,18.86161844,-3.6,5.26E-06
322200,459300,21000,215500,1018000,4.05E-06,0285,2.80E-06,0270,5.20E-06,2.76E-06,0067,14.30268588,-3.88,8.35E-06
333600,537200,30400,207300,1108500,5.00E-06,0293,2.28E-06,0279,1.13E-06,5.67E-06,0068,2.321929042,-4.61,1.01E-05
356300,576400,36500,121200,1090400,2.60E-06,0296,5.60E-07,0284,4.76E-07,2.81E-06,0069,0.1822400143,-5.8,9.32E-06
320300,555100,35300,122900,1033600,1.59E-06,0303,4.03E-07,0291,5.85E-09,2.24E-06,0064,0.0001727684791,-6.81,9.41E-06
256700,615400,39900,127500,1039500,2.68E-06,0306,2.83E-06,0294,2.19E-11,8.37E-06,0059,2.06E-05,-7.3,9.44E-06
238700,567600,40700,105200,952200,2.03E-06,0304,2.86E-06,0291,1.04E-09,8.00E-06,0056,0.0001437440959,-7.73,7.89E-06
189700,444900,33400,112500,780500,9.39E-06,0299,1.09E-05,0286,2.07E-07,2.36E-05,0058,0.02549860508,-6.2,1.13E-05
149700,368900,29900,79200,627700,4.48E-06,0291,7.15E-06,0278,3.40E-06,9.80E-06,0065,0.75767226,-5.32,6.91E-06
197300,335800,20400,103700,657200,5.39E-06,0285,7.58E-06,0271,4.00E-06,3.15E-06,0068,3.982537645,-4.95,4.41E-06
165600,275900,13600,125400,580500,4.90E-06,0280,5.93E-06,0268,5.12E-06,1.80E-06,0069,6.002770262,-4.64,2.55E-06
216938,246971,14745,134481,613135,4.54E-06,0284,1.50E-06,0271,2.17E-06,1.30E-06,0069,8.699633613,-5.32,2.69E-06
195797,153644,13220,181491,544152,9.50E-06,0282,2.59E-05,0268,6.28E-06,1.12E-05,0072,10.84957673,-4.41,6.04E-06
282488,416174,15250,207010,920922,1.41E-05,0286,1.31E-05,0273,7.67E-06,6.36E-06,0076,10.08753938,-4.08,1.04E-05
312166,504884,23240,204714,1045004,1.21E-05,0289,7.73E-06,0278,2.06E-06,6.22E-06,0083,3.217423795,-4,1.30E-05
319683,478069,26352,112358,936462,7.33E-06,0297,3.35E-06,0284,8.67E-07,8.62E-06,0086,0.3324188454,-4.46,1.63E-05
285427,434218,33862,111490,864997,2.00E-06,0302,1.80E-07,0289,1.22E-07,8.47E-06,0080,0.01705465473,-4.49,1.69E-05
228575,473590,36908,122177,861250,1.79E-06,0306,5.91E-06,0295,5.06E-11,5.46E-06,0070,6.24E-06,-5.57,1.08E-05
163063,433069,33332,100876,730340,9.88E-06,0304,8.90E-06,0292,1.09E-09,1.35E-05,0066,0.0001122789816,-5.72,1.22E-05
162915,388474,28105,92836,672330,7.42E-06,0301,3.44E-06,0287,4.47E-08,1.18E-05,0067,0.005029724474,-5.59,9.80E-06
231586,366376,33374,72824,704160,1.81E-06,0296,7.63E-07,0283,5.00E-07,5.15E-06,0069,0.04952532384,-5.84,5.58E-06
220560,258372,20963,100688,600583,2.88E-06,0283,6.11E-06,0271,6.19E-06,6.46E-06,0069,4.249975336,-5,3.45E-06
211401,254905,19039,120910,606255,5.38E-06,0281,6.99E-06,0269,8.01E-06,2.85E-06,0070,11.55139065,-4.78,2.98E-06
222780,221166,16204,128668,588818,5.40E-06,0280,3.62E-06,0267,6.20E-06,2.08E-06,0070,26.11085302,-4.65,3.15E-06
231587,237242,10098,168644,647571,8.77E-06,0280,2.47E-05,0268,1.00E-05,4.98E-06,0070,27.84489689,-3.84,5.55E-06
294267,392360,20020,202050,908697,1.14E-05,0291,2.78E-06,0276,1.47E-06,1.90E-06,0076,13.53302502,-4.47,1.08E-05
311500,450334,21515,212328,995677,1.42E-05,0291,1.28E-05,0279,4.22E-06,1.78E-05,0093,1.341084123,-3.22,1.46E-05
335803,501285,38365,112075,987528,5.25E-06,0297,1.20E-06,0285,2.96E-07,5.00E-06,0095,0.1315996581,-3.75,1.61E-05
299551,489702,33933,109645,932831,2.15E-06,0303,7.28E-07,0289,6.26E-08,1.01E-05,0084,0.006277022347,-3.73,1.66E-05
251683,484423,33865,120542,890513,3.87E-06,0305,3.83E-06,0292,7.02E-10,9.78E-06,0075,0.0002723883146,-3.64,1.53E-05
167675,434337,31495,98276,731783,7.90E-06,0303,8.90E-06,0290,1.88E-09,9.23E-06,0070,0.000247840463,-3.59,1.11E-05
178551,354259,27730,94447,654987,7.02E-06,0299,6.15E-06,0286,3.08E-07,2.08E-05,0068,0.03760904803,0.47,1.01E-05
84237,271190,23593,112381,491401,6.19E-06,0291,3.95E-05,0280,1.83E-06,1.85E-05,0076,0.7007068246,1.26,7.73E-06
196553,254317,10474,104985,566329,1.07E-05,0283,2.80E-05,0272,7.97E-06,6.88E-06,0091,5.012991795,1.99,4.72E-06
210458,225570,15714,129101,580843,7.09E-06,0281,1.72E-05,0269,5.28E-06,4.39E-06,0093,12.28607108,1.94,3.16E-06
179126,100485,9898,140699,430208,7.02E-06,0282,3.90E-05,0271,1.32E-05,1.05E-05,0101,34.24327848,2.97,2.75E-06
77532,132078,9040,186257,404907,1.14E-05,0283,3.58E-05,0270,7.75E-06,1.01E-05,0108,33.65406841,3.9,5.27E-06
124148,337760,16160,215623,693691,1.98E-05,0286,1.21E-05,0273,5.67E-06,6.72E-06,0114,21.19241424,3.86,1.05E-05
306792,473454,22989,199182,1002417,1.74E-05,0290,1.16E-05,0277,3.13E-06,1.16E-05,0123,10.69832972,3.85,1.64E-05
310533,511763,35867,113497,971660,1.09E-05,0297,2.89E-06,0284,1.43E-06,1.13E-05,0129,2.650301313,4.15,2.31E-05
246977,523274,33167,109738,913156,4.73E-06,0301,3.57E-06,0288,3.78E-07,1.37E-05,0115,0.05495571829,4.75,2.53E-05
231592,537968,37710,123995,931265,5.59E-06,0307,6.12E-06,0295,5.58E-10,5.39E-06,0094,8.32E-05,-0.38,1.85E-05
177550,422475,32082,118269,750376,1.45E-05,0303,1.25E-05,0291,9.63E-10,1.52E-05,0085,8.02E-05,0.41,1.55E-05
220041,428019,30804,92171,771035,4.51E-06,0299,3.22E-06,0288,2.77E-08,1.43E-05,0081,0.002991021607,-0.29,1.19E-05
229691,349081,28911,90719,698402,7.96E-06,0293,1.67E-05,0281,1.29E-06,1.39E-05,0082,0.3789644361,-0.03,8.28E-06
209252,314286,20456,99742,643736,7.74E-06,0287,2.06E-06,0274,1.77E-06,4.12E-06,0087,1.24901639,-0.75,5.18E-06
115235,213615,14694,126450,469994,4.20E-06,0282,2.84E-06,0268,4.89E-06,2.75E-06,0087,6.61413668,-1.27,2.33E-06
193234,244984,12649,126283,577150,7.03E-06,0282,5.74E-06,0269,7.15E-06,1.80E-06,0087,12.69492742,-1.86,3.50E-06
186756,253322,12919,150328,603325,4.87E-06,0284,1.12E-06,0269,2.76E-06,1.34E-06,0087,14.35389426,-2.67,5.20E-06
185166,328403,14370,209037,736976,1.26E-05,0284,1.86E-05,0272,1.04E-05,7.59E-06,0088,12.43702227,-2.43,9.94E-06
292725,433337,20964,194209,941235,1.24E-05,0291,6.03E-06,0279,2.01E-06,5.88E-06,0095,3.559574623,-2.95,1.29E-05
335434,492627,33779,109558,971398,5.38E-06,0298,1.25E-06,0286,2.87E-07,3.69E-06,0097,0.1217627244,-4.3,1.36E-05
331021,484064,32469,127969,975523,2.95E-06,0304,2.82E-06,0292,2.29E-09,4.49E-06,0085,0.0001779114374,-5.2,1.63E-05
215921,511635,34456,124494,886506,1.20E-05,0306,1.24E-05,0295,0000,1.60E-05,0073,5.65E-06,-4.6,1.55E-05
165274,470465,35906,98885,770530,5.04E-06,0304,1.65E-06,0292,7.91E-09,1.63E-05,0071,0.0004622756371,-3.54,1.56E-05
234664,383406,30985,93834,742889,4.55E-06,0298,4.16E-06,0285,1.01E-06,1.76E-05,0072,0.2658226109,-2.54,1.30E-05
266057,312303,26389,79663,684412,9.60E-06,0291,1.34E-05,0279,2.19E-06,2.80E-05,0095,0.7548501812,-1.27,9.75E-06
173127,223065,21253,99963,517408,3.82E-06,0286,1.21E-06,0273,3.52E-06,2.73E-06,0102,1.89421243,-1.79,5.69E-06
203486,197687,16725,122010,539908,3.55E-06,0279,6.24E-06,0267,6.00E-06,3.27E-06,0101,6.719125115,-1.75,2.89E-06
180650,227318,12817,122658,543443,5.26E-06,0278,2.64E-06,0265,5.75E-06,1.00E-06,0100,15.3694208,-1.74,3.99E-06
191544,275839,12590,149472,629445,6.52E-06,0283,6.23E-06,0270,6.81E-06,3.42E-06,0101,12.10630517,-1.95,6.52E-06
275545,359914,21686,202855,860000,6.03E-06,0288,2.98E-06,0275,2.66E-06,6.01E-06,0102,5.085659065,-2.41,9.73E-06
296335,457405,24524,197758,976022,7.58E-06,0292,5.05E-06,0279,2.44E-06,7.62E-06,0105,1.0133105,-2.42,1.35E-05
308454,518079,34330,109278,970141,3.83E-06,0298,1.42E-06,0285,1.10E-06,9.81E-06,0103,0.2008172499,-2.62,1.80E-05
289276,482430,35404,117933,925043,2.53E-06,0302,1.11E-06,0291,1.13E-07,3.76E-06,0090,0.01456607387,-3.21,1.83E-05
237678,497339,38834,123383,897234,4.66E-06,0306,1.28E-05,0295,3.37E-12,1.24E-05,0075,1.55E-05,-3.26,1.45E-05
162590,476744,33429,96938,769701,9.09E-06,0305,7.74E-06,0293,4.00E-10,1.60E-05,0073,1.75E-05,-3.38,1.55E-05
243182,408129,23772,91818,766901,5.84E-06,0300,7.96E-06,0288,6.72E-08,1.68E-05,0070,0.009761593467,-3.06,1.11E-05
257817,298273,26316,80047,662453,4.76E-06,0292,6.59E-07,0281,1.48E-06,7.76E-06,0072,0.3984180558,-3.35,8.49E-06
202237,211888,19292,102984,536401,1.80E-06,0287,4.46E-06,0275,2.11E-06,2.06E-06,0074,0.2701612618,-3.78,3.30E-06
138013,157337,17318,126479,439147,7.72E-06,0279,1.98E-05,0267,1.13E-05,1.06E-05,0079,22.89494031,-2.43,2.93E-06
200464,213982,14685,131794,560925,8.15E-06,0280,1.67E-05,0265,9.61E-06,5.99E-06,0080,40.41307333,-1.6,3.23E-06
222592,286047,10878,154548,674065,9.89E-06,0282,1.03E-05,0268,1.28E-05,1.79E-06,0081,53.46625913,-1.12,5.00E-06
301055,416618,17780,204704,940157,7.42E-06,0287,1.05E-06,0272,4.95E-06,2.38E-06,0088,31.28336047,-1.53,8.98E-06
326468,504906,24603,201930,1057907,3.62E-06,0291,4.45E-07,0276,2.58E-06,3.44E-06,0097,11.58909837,-1.86,1.23E-05
315358,506188,30516,113316,965378,5.32E-06,0294,4.66E-06,0282,2.57E-06,1.22E-05,0107,0.9065502344,-1.66,1.99E-05
256945,475709,31121,115585,879360,3.39E-06,0302,8.28E-07,0289,1.44E-07,6.35E-06,0100,0.01557008361,-1.79,2.20E-05
226770,500197,34025,121652,882644,5.31E-06,0305,5.90E-06,0294,1.10E-10,8.31E-06,0082,7.72E-05,-1.29,1.55E-05
190897,444101,34192,108585,777775,8.64E-06,0305,7.98E-06,0293,4.04E-09,1.20E-05,0075,0.0002570353629,-0.85,1.28E-05
198679,373128,22937,99176,693920,3.58E-06,0300,1.82E-06,0287,6.14E-08,9.19E-06,0072,0.006548378596,-1.23,9.31E-06
229746,344176,26198,83689,683809,2.42E-06,0293,2.13E-06,0281,3.67E-07,6.91E-06,0071,0.08674036595,-1.34,5.51E-06
215344,252512,14929,117570,600355,4.65E-06,0287,1.02E-05,0275,1.99E-06,6.66E-06,0072,1.045021008,-1.58,3.74E-06
68179,181247,7790,138830,396046,5.89E-06,0280,1.74E-05,0268,1.09E-05,3.79E-06,0073,10.85569396,-1.01,3.19E-06
224567,267120,9294,121104,622085,5.86E-06,0282,3.76E-06,0268,8.55E-06,1.27E-06,0073,24.78363184,-1.35,3.32E-06
211406,244172,9161,162557,627296,1.01E-05,0283,1.65E-05,0270,5.16E-06,2.42E-06,0075,17.54785165,-1.68,6.02E-06
299532,443569,17674,209013,969788,8.15E-06,0287,1.14E-06,0274,4.67E-06,4.71E-06,0080,6.328338237,-2.26,9.83E-06
315553,481260,20786,205556,1023155,7.36E-06,0290,4.19E-06,0277,5.30E-06,1.05E-05,0087,3.86644883,-2.07,1.39E-05
310422,463414,33396,122390,929622,5.49E-06,0299,2.94E-06,0286,3.65E-07,1.40E-05,0095,0.1969567416,-2.48,1.79E-05
211181,420202,25430,113569,770382,4.82E-06,0300,3.18E-06,0288,2.15E-07,1.96E-05,0096,0.03718096189,-2.22,2.33E-05
214504,449168,30538,120031,814241,3.72E-06,0306,4.18E-06,0294,1.99E-09,8.11E-06,0085,0.0001627243911,-2.44,1.66E-05
195691,409533,30662,101218,737104,2.89E-06,0304,1.36E-06,0292,5.39E-09,6.05E-06,0075,0.0003213152919,-3.46,1.18E-05
245512,360987,22397,93275,722171,3.34E-06,0301,2.39E-06,0288,2.98E-08,8.54E-06,0071,0.001783385631,-3.4,8.79E-06
220313,288152,25024,77075,610564,1.30E-06,0291,1.14E-06,0278,3.40E-06,7.24E-06,0070,1.126644026,-2.95,5.18E-06
201049,292636,15039,104331,613055,1.22E-06,0286,1.41E-06,0274,9.81E-07,2.92E-06,0070,0.9810522106,-3.38,3.64E-06
181982,237860,9212,134804,563858,4.87E-06,0279,1.49E-05,0264,1.12E-05,1.66E-06,0070,14.66070364,0.16,2.47E-06
135447,183385,6654,174385,499871,7.36E-06,0281,2.97E-05,0266,1.53E-05,4.24E-06,0070,31.61648182,0.98,2.51E-06
117331,174030,5400,140895,437656,8.78E-06,0282,1.53E-05,0267,8.47E-06,2.08E-06,0071,43.96139735,1.35,4.65E-06
218000,375260,12305,233024,838589,1.58E-05,0286,9.47E-06,0273,6.64E-06,6.56E-06,0080,24.56475536,1.41,9.68E-06
278902,389511,19249,209495,897157,1.18E-05,0289,5.13E-06,0277,3.99E-06,9.50E-06,0097,4.966189476,1.44,1.56E-05
302751,481904,28041,114169,926865,5.52E-06,0293,1.74E-06,0281,1.71E-06,9.17E-06,0104,0.5636539212,1.31,1.82E-05
309364,441951,28120,112669,892104,3.24E-06,0302,1.18E-06,0290,1.02E-07,9.51E-06,0096,0.01761811371,1.3,2.17E-05
217618,501023,34322,126052,879015,1.31E-06,0306,2.76E-06,0294,1.07E-09,1.32E-05,0081,0.0006037420662,1.73,1.52E-05
229979,467149,33449,100581,831158,4.23E-06,0304,2.77E-06,0291,1.21E-08,1.47E-05,0080,0.0004583951999,-0.02,1.68E-05
290441,430782,23184,92735,837142,2.28E-06,0300,6.65E-07,0288,3.29E-08,5.57E-06,0076,0.007502092016,-0.76,8.39E-06
248075,348168,23914,106185,726342,5.95E-06,0293,1.57E-05,0281,2.04E-06,1.49E-05,0074,0.7478872827,-0.5,6.45E-06
214994,328769,17359,113968,675090,8.09E-06,0284,5.94E-06,0271,5.14E-06,3.16E-06,0078,3.680981859,-0.71,4.02E-06
217465,234907,9440,147166,608978,5.71E-06,0282,2.81E-05,0270,1.05E-05,8.40E-06,0080,14.89410379,-0.29,2.12E-06
129270,218239,9479,140797,497785,5.47E-06,0280,1.03E-06,0264,3.84E-06,5.00E-07,0083,28.54608424,-0.89,2.97E-06
180781,188974,8943,173363,552061,9.48E-06,0281,1.76E-05,0266,8.15E-06,2.12E-06,0083,26.08271849,-0.8,5.26E-06
290691,409563,14910,198897,914061,1.49E-05,0287,1.07E-05,0273,4.31E-06,5.33E-06,0086,17.4607048,-1.46,9.49E-06
315005,467821,20577,203660,1007063,1.56E-05,0290,9.21E-06,0277,5.00E-06,1.42E-05,0097,7.43155842,-1.48,1.51E-05
