date,volume_real,volume_projection,volume_lower,volume_upper,Forecast Extreme Bad Volume,Forecast Extreme Good Volume
2000-01-01,25046,,,,,
2000-02-01,24974,,,,,
2000-03-01,24598,,,,,
2000-04-01,24213,,,,,
2000-05-01,24047,,,,,
2000-06-01,23514,,,,,
2000-07-01,22912,,,,,
2000-08-01,22435,,,,,
2000-09-01,22444,,,,,
2000-10-01,22435,,,,,
2000-11-01,22405,,,,,
2000-12-01,22358,,,,,
2001-01-01,22523,,,,,
2001-02-01,22430,,,,,
2001-03-01,22154,,,,,
2001-04-01,21603,,,,,
2001-05-01,21127,,,,,
2001-06-01,20557,,,,,
2001-07-01,20245,,,,,
2001-08-01,20137,,,,,
2001-09-01,19873,,,,,
2001-10-01,19882,,,,,
2001-11-01,19776,,,,,
2001-12-01,19795,,,,,
2002-01-01,19870,,,,,
2002-02-01,19682,,,,,
2002-03-01,19112,,,,,
2002-04-01,18539,,,,,
2002-05-01,17915,,,,,
2002-06-01,17533,,,,,
2002-07-01,17343,,,,,
2002-08-01,17209,,,,,
2002-09-01,17093,,,,,
2002-10-01,17032,,,,,
2002-11-01,16850,,,,,
2002-12-01,16718,,,,,
2003-01-01,16854,,,,,
2003-02-01,16978,,,,,
2003-03-01,16826,,,,,
2003-04-01,16287,,,,,
2003-05-01,15893,,,,,
2003-06-01,15733,,,,,
2003-07-01,15598,,,,,
2003-08-01,15741,,,,,
2003-09-01,15618,,,,,
2003-10-01,15517,,,,,
2003-11-01,15337,,,,,
2003-12-01,15300,,,,,
2004-01-01,15434,,,,,
2004-02-01,15404,,,,,
2004-03-01,15255,,,,,
2004-04-01,14866,,,,,
2004-05-01,14324,,,,,
2004-06-01,14042,,,,,
2004-07-01,13924,,,,,
2004-08-01,14018,,,,,
2004-09-01,13937,,,,,
2004-10-01,14094,,,,,
2004-11-01,14367,,,,,
2004-12-01,14355,,,,,
2005-01-01,15119,,,,,
2005-02-01,15739,,,,,
2005-03-01,16220,,,,,
2005-04-01,15869,,,,,
2005-05-01,15593,,,,,
2005-06-01,15441,,,,,
2005-07-01,15288,,,,,
2005-08-01,15351,,,,,
2005-09-01,15219,,,,,
2005-10-01,15078,,,,,
2005-11-01,14896,,,,,
2005-12-01,15131,,,,,
2006-01-01,15335,,,,,
2006-02-01,15520,,,,,
2006-03-01,15337,,,,,
2006-04-01,14966,,,,,
2006-05-01,14470,,,,,
2006-06-01,14178,,,,,
2006-07-01,13993,,,,,
2006-08-01,14005,,,,,
2006-09-01,13887,,,,,
2006-10-01,13964,,,,,
2006-11-01,14014,,,,,
2006-12-01,14164,,,,,
2007-01-01,14309,,,,,
2007-02-01,14288,,,,,
2007-03-01,13930,,,,,
2007-04-01,13426,,,,,
2007-05-01,12963,,,,,
2007-06-01,12735,,,,,
2007-07-01,12554,,,,,
2007-08-01,12578,,,,,
2007-09-01,12505,,,,,
2007-10-01,12494,,,,,
2007-11-01,12520,,,,,
2007-12-01,12860,,,,,
2008-01-01,13017,,,,,
2008-02-01,13062,,,,,
2008-03-01,12940,,,,,
2008-04-01,12463,,,,,
2008-05-01,12132,,,,,
2008-06-01,11941,,,,,
2008-07-01,11890,,,,,
2008-08-01,11955,,,,,
2008-09-01,12013,,,,,
2008-10-01,12213,,,,,
2008-11-01,12157,,,,,
2008-12-01,12496,,,,,
2009-01-01,12572,,,,,
2009-02-01,12539,,,,,
2009-03-01,12164,,,,,
2009-04-01,11604,,,,,
2009-05-01,11217,,,,,
2009-06-01,11071,,,,,
2009-07-01,10978,,,,,
2009-08-01,10938,,,,,
2009-09-01,10933,,,,,
2009-10-01,10897,,,,,
2009-11-01,10919,,,,,
2009-12-01,11162,,,,,
2010-01-01,11493,,,,,
2010-02-01,11780,,,,,
2010-03-01,11550,,,,,
2010-04-01,11313,,,,,
2010-05-01,10987,,,,,
2010-06-01,10556,,,,,
2010-07-01,10357,,,,,
2010-08-01,10352,,,,,
2010-09-01,10092,,,,,
2010-10-01,9971,,,,,
2010-11-01,9936,,,,,
2010-12-01,10301,,,,,
2011-01-01,10765,,,,,
2011-02-01,11117,,,,,
2011-03-01,11170,,,,,
2011-04-01,11115,,,,,
2011-05-01,11304,,,,,
2011-06-01,11705,,,,,
2011-07-01,12133,,,,,
2011-08-01,12730,,,,,
2011-09-01,12977,,,,,
2011-10-01,13456,,,,,
2011-11-01,13933,,,,,
2011-12-01,14644,,,,,
2012-01-01,15022,,,,,
2012-02-01,14907,,,,,
2012-03-01,14535,,,,,
2012-04-01,13986,,,,,
2012-05-01,13541,,,,,
2012-06-01,13200,,,,,
2012-07-01,13207,,,,,
2012-08-01,13269,,,,,
2012-09-01,13135,,,,,
2012-10-01,13263,,,,,
2012-11-01,13334,,,,,
2012-12-01,13636,,,,,
2013-01-01,13828,,,,,
2013-02-01,13810,,,,,
2013-03-01,13465,,,,,
2013-04-01,12921,,,,,
2013-05-01,12495,,,,,
2013-06-01,12276,,,,,
2013-07-01,12270,,,,,
2013-08-01,12289,,,,,
2013-09-01,12362,,,,,
2013-10-01,12099,,,,,
2013-11-01,12310,,,,,
2013-12-01,12344,,,,,
2014-01-01,12531,,,,,
2014-02-01,12456,,,,,
2014-03-01,11888,,,,,
2014-04-01,11254,,,,,
2014-05-01,10639,,,,,
2014-06-01,10233,,,,,
2014-07-01,10061,,,,,
2014-08-01,10140,,,,,
2014-09-01,10121,,,,,
2014-10-01,10244,,,,,
2014-11-01,10309,,,,,
2014-12-01,10667,,,,,
2015-01-01,10729,,,,,
2015-02-01,10769,,,,,
2015-03-01,10419,,,,,
2015-04-01,9931,,,,,
2015-05-01,9729,,,,,
2015-06-01,9607,,,,,
2015-07-01,9858,,,,,
2015-08-01,9871,,,,,
2015-09-01,9854,,,,,
2015-10-01,9927,,,,,
2015-11-01,9865,,,,,
2015-12-01,10087,,,,,
2016-01-01,10318,,,,,
2016-02-01,10360,,,,,
2016-03-01,10048,,,,,
2016-04-01,9693,,,,,
2016-05-01,9504,,,,,
2016-06-01,9330,,,,,
2016-07-01,9419,,,,,
2016-08-01,9615,,,,,
2016-09-01,9620,,,,,
2016-10-01,9710,,,,,
2016-11-01,9727,,,,,
2016-12-01,10079,,,,,
2017-01-01,10521,,,,,
2017-02-01,10838,,,,,
2017-03-01,10707,,,,,
2017-04-01,10420,,,,,
2017-05-01,10141,,,,,
2017-06-01,9971,,,,,
2017-07-01,9931,,,,,
2017-08-01,10131,,,,,
2017-09-01,10182,,,,,
2017-10-01,10202,,,,,
2017-11-01,10090,,,,,
2017-12-01,10221,,,,,
2018-01-01,10642,,,,,
2018-02-01,10703,,,,,
2018-03-01,10694,,,,,
2018-04-01,10387,,,,,
2018-05-01,10011,,,,,
2018-06-01,9748,,,,,
2018-07-01,9799,,,,,
2018-08-01,9918,,,,,
2018-09-01,9870,,,,,
2018-10-01,9889,,,,,
2018-11-01,9872,,,,,
2018-12-01,10132,,,,,
2019-01-01,10493,,,,,
2019-02-01,10682,,,,,
2019-03-01,10878,,,,,
2019-04-01,10767,,,,,
2019-05-01,10555,,,,,
2019-06-01,10405,,,,,
2019-07-01,10246,,,,,
2019-08-01,10299,,,,,
2019-09-01,10261,,,,,
2019-10-01,10228,,,,,
2019-11-01,10333,,,,,
2019-12-01,10899,,,,,
2020-01-01,11265,,,,,
2020-02-01,11405,,,,,
2020-03-01,11610,,,,,
2020-04-01,11415,,,,,
2020-05-01,10971,,,,,
2020-06-01,10605,,,,,
2020-07-01,10398,,,,,
2020-08-01,10349,,,,,
2020-09-01,10279,,,,,
2020-10-01,10167,,,,,
2020-11-01,10100,,,,,
2020-12-01,10322,,,,,
2021-01-01,10510,,,,,
2021-02-01,10622,,,,,
2021-03-01,10378,,,,,
2021-04-01,9953,,,,,
2021-05-01,9480,,,,,
2021-06-01,9102,,,,,
2021-07-01,9014,,,,,
2021-08-01,9038,,,,,
2021-09-01,9016,,,,,
2021-10-01,8945,,,,,
2021-11-01,8804,,,,,
2021-12-01,8915,,,,,
2022-01-01,8970,,,,,
2022-02-01,8946,,,,,
2022-03-01,8536,,,,,
2022-04-01,8026,,,,,
2022-05-01,7517,,,,,
2022-06-01,7187,,,,,
2022-07-01,7041,,,,,
2022-08-01,7275,,,,,
2022-09-01,7328,,,,,
2022-10-01,7417,,,,,
2022-11-01,7187,,,,,
2022-12-01,7313,,,,,
2023-01-01,,7562,7415,8295,7540,7639
2023-02-01,,7738,7168,8534,7693,7899
2023-03-01,,7571,6756,8430,7513,7777
2023-04-01,,7249,6381,8170,7189,7460
2023-05-01,,6961,6068,7946,6904,7163
2023-06-01,,6737,5780,7785,6683,6928
2023-07-01,,6532,5617,7642,6481,6712
2023-08-01,,6449,5491,7622,6401,6620
2023-09-01,,6408,5461,7644,6363,6569
2023-10-01,,6462,5564,7761,6419,6614
2023-11-01,,6718,5770,8080,6675,6869
2023-12-01,,7006,5939,8431,6954,7193
2024-01-01,,7248,6024,8736,7174,7510
2024-02-01,,7402,5775,8953,7306,7745
2024-03-01,,7235,5354,8848,7125,7623
2024-04-01,,6902,4931,8579,6792,7295
2024-05-01,,6553,4634,8292,6445,6932
2024-06-01,,6327,4368,8130,6224,6693
2024-07-01,,6134,4240,7999,6034,6489
2024-08-01,,6073,4160,8001,5976,6417
2024-09-01,,6074,4179,8065,5979,6409
2024-10-01,,6165,4238,8218,6072,6492
2024-11-01,,6319,4389,8436,6227,6646
2024-12-01,,6539,4590,8719,6438,6898
2025-01-01,,6803,4738,9045,6681,7235
2025-02-01,,7028,4505,9333,6884,7539
2025-03-01,,6862,4087,9230,6705,7415
2025-04-01,,6538,3691,8969,6381,7094
2025-05-01,,6209,3402,8703,6056,6753
2025-06-01,,5986,3135,8543,5836,6515
2025-07-01,,5790,2999,8410,5644,6307
2025-08-01,,5722,2919,8405,5580,6229
2025-09-01,,5710,2938,8456,5570,6207
2025-10-01,,5789,3018,8598,5652,6277
2025-11-01,,5956,3200,8827,5819,6442
2025-12-01,,6201,3403,9135,6055,6718
2026-01-01,,6459,3550,9457,6293,7048
2026-02-01,,6662,3321,9722,6475,7327
2026-03-01,,6498,2917,9621,6299,7203
2026-04-01,,6184,2537,9370,5984,6892
2026-05-01,,5877,2255,9125,5681,6571
2026-06-01,,5654,1990,8966,5463,6334
2026-07-01,,5455,1851,8830,5267,6123
2026-08-01,,5382,1762,8820,5197,6038
2026-09-01,,5357,1766,8858,5175,6002
2026-10-01,,5425,1875,8989,5246,6060
2026-11-01,,5609,2093,9236,5431,6242
2026-12-01,,5879,2289,9568,5692,6541
2027-01-01,,6132,2414,9884,5925,6863
2027-02-01,,6312,2198,10127,6085,7118
2027-03-01,,6150,1804,10028,5911,6994
2027-04-01,,5849,1447,9790,5611,6695
2027-05-01,,5563,1165,9567,5329,6396
2027-06-01,,5342,905,9409,5111,6159
2027-07-01,,5139,764,9269,4912,5944
2027-08-01,,5060,670,9253,4837,5853
2027-09-01,,5023,672,9278,4802,5803
2027-10-01,,5080,813,9398,4863,5849
2027-11-01,,5284,1050,9665,5068,6050
2027-12-01,,5578,1247,10022,5354,6373
2028-01-01,,5824,1363,10331,5581,6686
2028-02-01,,5982,1141,10551,5718,6916
2028-03-01,,5819,739,10452,5545,6792
2028-04-01,,5545,341,10240,5270,6517
2028-05-01,,5197,67,9955,4927,6153
2028-06-01,,4975,-179,9796,4710,5915
2028-07-01,,4785,-285,9669,4524,5711
2028-08-01,,4727,-336,9674,4469,5641
2028-09-01,,4732,-300,9742,4477,5634
2028-10-01,,4826,-207,9899,4575,5717
2028-11-01,,4971,-23,10107,4720,5858
2028-12-01,,5196,203,10395,4938,6110
2029-01-01,,5463,385,10725,5187,6443
2029-02-01,,5692,172,11017,5396,6742
2029-03-01,,5531,-215,10918,5225,6617
2029-04-01,,5226,-585,10677,4920,6312
2029-05-01,,4900,-851,10413,4599,5969
2029-06-01,,4680,-1093,10256,4383,5732
2029-07-01,,4487,-1199,10126,4195,5525
2029-08-01,,4424,-1262,10126,4135,5448
2029-09-01,,4416,-1222,10180,4130,5428
2029-10-01,,4498,-1109,10326,4216,5499
2029-11-01,,4662,-901,10553,4381,5659
2029-12-01,,4913,-682,10866,4624,5934
2030-01-01,,5175,-525,11192,4869,6260
2030-02-01,,5382,-727,11461,5057,6535
2030-03-01,,5223,-1109,11365,4888,6410
2030-04-01,,4915,-1449,11120,4581,6101
2030-05-01,,4610,-1706,10878,4281,5779
2030-06-01,,4391,-1941,10722,4067,5543
2030-07-01,,4196,-2045,10590,3875,5333
2030-08-01,,4127,-2109,10583,3810,5250
2030-09-01,,4106,-2070,10625,3793,5216
2030-10-01,,4178,-1940,10760,3868,5276
2030-11-01,,4362,-1708,11008,4054,5455
2030-12-01,,4637,-1481,11345,4322,5754
2031-01-01,,,"-1,335.68",,4561,6072
2031-02-01,,,"-1,530.61",,4727,6323
2031-03-01,,,"-1,901.42",,4561,6199
2031-04-01,,,"-2,217.94",,4256,5890
2031-05-01,,,"-2,466.33",,3977,5590
2031-06-01,,,"-2,700.32",,3764,5354
2031-07-01,,,"-2,810.25",,3569,5140
2031-08-01,,,"-2,870.50",,3498,5051
2031-09-01,,,"-2,843.10",,3469,5004
2031-10-01,,,"-2,678.46",,3534,5053
2031-11-01,,,"-2,424.43",,3742,5252
2031-12-01,,,"-2,210.61",,4034,5575
2032-01-01,,,"-2,079.46",,4267,5884
2032-02-01,,,"-2,270.00",,4411,6110
2032-03-01,,,"-2,638.57",,4245,5985
2032-04-01,,,"-3,007.72",,3924,5659
2032-05-01,,,"-3,250.13",,3585,5296
2032-06-01,,,"-3,467.06",,3372,5058
2032-07-01,,,"-3,548.43",,3190,4856
2032-08-01,,,"-3,568.53",,3141,4788
2032-09-01,,,"-3,508.07",,3153,4784
2032-10-01,,,"-3,392.80",,3255,4870
2032-11-01,,,"-3,191.07",,3403,5010
2032-12-01,,,"-2,950.05",,3628,5262
2033-01-01,,,"-2,737.18",,3883,5591
2033-02-01,,,"-2,916.50",,4099,5886
2033-03-01,,,"-3,273.00",,3934,5761
2033-04-01,,,"-3,615.21",,3617,5437
2033-05-01,,,"-3,852.52",,3299,5095
2033-06-01,,,"-4,059.38",,3088,4859
2033-07-01,,,"-4,138.74",,2904,4654
2033-08-01,,,"-4,173.41",,2849,4580
2033-09-01,,,"-4,113.88",,2849,4563
2033-10-01,,,"-3,976.52",,2940,4637
2033-11-01,,,"-3,754.02",,3109,4796
2033-12-01,,,"-3,507.36",,3359,5072
2034-01-01,,,"-3,318.98",,3610,5395
2034-02-01,,,"-3,494.12",,3804,5666
2034-03-01,,,"-3,842.01",,3642,5541
2034-04-01,,,"-4,154.88",,3328,5220
2034-05-01,,,"-4,385.40",,3032,4899
2034-06-01,,,"-4,589.54",,2823,4664
2034-07-01,,,"-4,677.84",,2636,4456
2034-08-01,,,"-4,721.55",,2576,4377
2034-09-01,,,"-4,665.21",,2563,4346
2034-10-01,,,"-4,504.90",,2644,4408
2034-11-01,,,"-4,251.45",,2833,4588
2034-12-01,,,"-4,006.56",,3108,4888
2035-01-01,,,"-3,835.62",,3354,5203
2035-02-01,,,"-4,008.17",,3526,5449
2035-03-01,,,"-4,344.97",,3367,5325
2035-04-01,,,"-4,632.98",,3059,5009
2035-05-01,,,"-4,867.33",,2784,4709
2035-06-01,,,"-5,073.16",,2576,4475
2035-07-01,,,"-5,167.28",,2386,4264
2035-08-01,,,"-5,201.08",,2320,4178
2035-09-01,,,"-5,146.06",,2295,4135
2035-10-01,,,"-4,966.28",,2366,4186
2035-11-01,,,"-4,688.19",,2577,4387
2035-12-01,,,"-4,443.70",,2876,4710
2036-01-01,,,"-4,286.93",,3116,5016
2036-02-01,,,"-4,457.98",,3267,5239
2036-03-01,,,"-4,811.55",,3107,5114
2036-04-01,,,"-5,158.87",,2785,4783
2036-05-01,,,"-5,383.40",,2450,4420
2036-06-01,,,"-5,576.44",,2242,4184
2036-07-01,,,"-5,633.07",,2066,3986
2036-08-01,,,"-5,631.71",,2021,3921
2036-09-01,,,"-5,540.01",,2039,3920
2036-10-01,,,"-5,398.85",,2146,4010
2036-11-01,,,"-5,174.45",,2298,4151
2036-12-01,,,"-4,910.22",,2530,4404
2037-01-01,,,"-4,688.44",,2792,4730
2037-02-01,,,"-4,854.34",,3014,5022
2037-03-01,,,"-5,201.61",,2856,4897
2037-04-01,,,"-5,524.56",,2538,4569
2037-05-01,,,"-5,734.63",,2225,4227
2037-06-01,,,"-5,926.91",,2019,3994
2037-07-01,,,"-5,983.87",,1840,3792
2037-08-01,,,"-5,989.12",,1790,3722
2037-09-01,,,"-5,898.22",,1796,3708
2037-10-01,,,"-5,743.94",,1892,3786
2037-11-01,,,"-5,500.13",,2065,3947
2037-12-01,,,"-5,241.39",,2322,4225
2038-01-01,,,"-5,036.18",,2579,4544
2038-02-01,,,"-5,197.61",,2780,4812
2038-03-01,,,"-5,535.99",,2625,4687
2038-04-01,,,"-5,835.77",,2312,4364
2038-05-01,,,"-6,049.37",,2021,4044
2038-06-01,,,"-6,230.73",,1816,3811
2038-07-01,,,"-6,293.28",,1634,3607
2038-08-01,,,"-6,307.89",,1579,3531
2038-09-01,,,"-6,229.81",,1572,3505
2038-10-01,,,"-6,051.02",,1658,3571
2038-11-01,,,"-5,772.57",,1852,3752
2038-12-01,,,"-5,486.51",,2134,4054